population,mu_05,mu_10,mu_50,mu_90,mu_95,sigma_05,sigma_10,sigma_50,sigma_90,sigma_95,logl_50_norm,dat,meanlog_05,meanlog_10,meanlog_50,meanlog_90,meanlog_95,sdlog_05,sdlog_10,sdlog_50,sdlog_90,sdlog_95,logl_50_lnorm,mean_05_norm,mean_10_norm,mean_50_norm,mean_90_norm,mean_95_norm,cv_05_norm,cv_10_norm,cv_50_norm,cv_90_norm,cv_95_norm,mean_05_lnorm,mean_10_lnorm,mean_50_lnorm,mean_90_lnorm,mean_95_lnorm,cv_05_lnorm,cv_10_lnorm,cv_50_lnorm,cv_90_lnorm,cv_95_lnorm,population_n,species,fished,bimodal,normal_better,better_dist,cov_pref,mean_size,data,col
Abudefduf sexfasciatus__C and S GBR,8.994614609213313,9.26252683005135,9.835432608369276,10.321016473729616,10.517272237617975,2.672961286613679,2.7609871519110913,3.0972637181967135,3.70696737971966,4.0097262269144816,-31.728570377101896,rls,2.04621313458777,2.093118709328678,2.2099322455544836,2.283824657445609,2.3041276740077583,0.272434215397771,0.28281385352093624,0.33971667439920633,0.4540542732547174,0.49831012282328524,-42.00919072289109,9.170153175749201,9.373076729508202,9.869442194289697,10.343199280338222,10.544259265617233,0.26600756322613633,0.27427165478009224,0.30872877373842966,0.36808783566381637,0.3971496782555474,8.546011831892205,8.823644027400242,9.682382619182812,10.402922120606165,10.627942811051726,0.2775683011377407,0.2885643499504136,0.34975792184388943,0.478493797435707,0.5309058936064665,5578,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.30872877373842966,9.810415919684475,rls,rls_norm
Abudefduf sexfasciatus__Exmouth to Broome,8.374898853860895,8.51806945702494,8.967574034439844,9.428331956894425,9.594434272607405,2.709796026610266,2.78298128931987,3.0719328209542742,3.5510789495439297,3.764033608123866,-33.73438407506345,rls,2.02103785870614,2.039147999617549,2.106303238020117,2.164736489924435,2.183822795425479,0.3002138300014565,0.3097192021827365,0.344396447600693,0.39135521656841316,0.409466833467366,-39.690121344712736,8.491376890517817,8.6242124221989,9.032156390856601,9.492247785757527,9.679327428284967,0.29434228643846716,0.3029862227864015,0.33217131744321515,0.37645224844740666,0.39651447506172816,8.0742307445864,8.223851085007654,8.727405997814849,9.22715349230209,9.396095707652119,0.3071070227005106,0.31729732660896415,0.35486546208959713,0.40682941180999427,0.4272448199135175,9384,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.33217131744321515,8.860027706734869,rls,rls_norm
Abudefduf sexfasciatus__Houtman,8.602250764545479,8.761312947348923,9.27384115944919,9.911954341664345,10.148731972991104,1.930709853075973,2.0122930050145085,2.3459628691824155,2.837122575272219,3.03400745702452,-18.433543162235928,rls,2.116797528824072,2.1303080003342028,2.170409294807569,2.2110362631217244,2.224879024722536,0.22765456897478337,0.236287602198896,0.2619817555120132,0.29082404740524676,0.3006166657706902,-19.931517832426927,8.619439017616026,8.76950628432968,9.28206625244444,9.92135709054203,10.163837545349548,0.20868284300319484,0.21795221446144947,0.25290254209810786,0.29694718060977854,0.3170918351509709,8.61576287134351,8.724504831820084,9.067661134251107,9.446158857224122,9.587917459024656,0.23063630672868565,0.23962438001634317,0.2665419419780546,0.29708316494035997,0.3075379957428452,1408,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.25290254209810786,9.085582386363637,rls,rls_norm
Abudefduf sexfasciatus__Leeuwin,5.857300331838565,6.643793433128955,7.86558656408107,8.76065598115461,9.080108258139672,2.6312705396035367,2.7535259879953293,3.402941334436446,4.728604289136717,5.4108774775447674,-22.27868581485412,rls,1.8309752567002777,1.8770753393856516,1.973385752192811,2.0612761866134806,2.084594361363511,0.3173516121976328,0.33335716364559753,0.3850064823710336,0.46037774352745803,0.49969866165585786,-26.340022513123138,7.1123999439594305,7.36869507256141,8.144334869626547,8.981655743256255,9.283376702510436,0.31210593759015864,0.3287524043908398,0.3924617100919199,0.49271930425636723,0.5262983309560635,6.86630419277223,7.096236762419253,7.768968096759105,8.497570783025255,8.7308877630039,0.32551210542603265,0.34283643826897353,0.39972441196145264,0.48588393173397393,0.5325773949338025,975,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.3924617100919199,7.87948717948718,rls,rls_norm
Abudefduf sexfasciatus__Lord Howe and Norfolk Islands,10.575568899905688,10.692097824067364,11.071221960716958,11.410629643409731,11.521720774345159,2.567522657218123,2.632865487222139,2.892120045055287,3.270012852954215,3.4369694575735865,-23.961893467081804,rls,2.1698116170483965,2.214818679933652,2.3217131922944687,2.3871578426451694,2.4054671331672175,0.2674023002614159,0.2786933900698489,0.3314171749987619,0.4295750207287569,0.4675747642728885,-36.31830309381152,10.598556787628604,10.705950795885789,11.076466326795895,11.418213729136358,11.527475090123609,0.23048302588294237,0.23682243472852613,0.26052453430134703,0.29621934116403037,0.31106572394697196,9.543767265591788,9.861085234509389,10.79176648004954,11.485692404922489,11.724111214683184,0.2722543602110176,0.28419351365248297,0.3407293881168675,0.4501763110125141,0.494333894067673,2190,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.26052453430134703,11.10958904109589,rls,rls_norm
Abudefduf sexfasciatus__Ningaloo,9.279567100597285,9.390934408147029,9.693802366552303,9.973136151641413,10.068805588890035,2.6222601364944667,2.6763104663306683,2.8619374238035435,3.1196224305611886,3.216787383669401,-28.380093401131248,rls,2.053449571904237,2.0936988270218415,2.189093201565278,2.2547820592810246,2.273934083007559,0.2696064300524672,0.27889821196055464,0.3247342329523948,0.41359351113082765,0.4498966901825845,-41.42089499514764,9.306373267183137,9.419868238080403,9.711510961882764,9.98608349522469,10.079948863905091,0.26573823610115516,0.272127859133231,0.2928831575009286,0.3175059750624456,0.32952808500862596,8.469560327343991,8.708354291250735,9.431195917743718,10.027136353232056,10.246749162646333,0.2745806991770691,0.28441060360215586,0.33348631619850255,0.4319276062306438,0.47365203972616743,7960,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.2928831575009286,9.708542713567839,rls,rls_norm
Abudefduf sexfasciatus__Shark Bay,0.41246477954423805,0.8166667288365742,3.7966336826186877,6.926343279413875,7.6883818463887055,3.8201720524112885,4.144552677217334,5.708385945350323,7.562134139656572,8.146821553125859,-23.43130223448287,rls,0.6953032537607917,1.0766549980581541,1.6385283220277942,1.9399659688140538,2.044594165873726,0.44717790432319693,0.48555719645899004,0.6587982638030472,1.0646265027014536,1.3109580376426138,-29.092893973091314,5.768388170841126,6.0138145116969755,7.069791894570297,8.474670564058554,8.96514473802964,0.44727357721636796,0.4743172059236854,0.5707379550460107,0.6225024310012555,0.6322281162375454,3.9904109521345554,4.661394235297869,6.47317650260425,8.58423563962584,9.464664886027153,0.47049311547975425,0.5156333936292727,0.7371853682495029,1.4513069187060328,2.139340310936284,692,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.5707379550460107,7.113439306358382,rls,rls_norm
Abudefduf sexfasciatus__Torres Strait N GBR,10.820707832666574,10.95633701241932,11.289894692071872,11.557953357774803,11.640608546716612,2.1866953241341394,2.2308237985645687,2.4169416206242422,2.712617653484087,2.8964670820490213,-22.162265066326235,rls,2.092847354974162,2.153777448133298,2.291146475187289,2.3792370253684405,2.4011237600259223,0.2588249411731419,0.27430034734781183,0.3533089896297912,0.4877305720989847,0.5494043237538621,-36.5389016645381,10.82584395104889,10.958157996661706,11.290461786120066,11.558359284206709,11.640643153105112,0.19254730680958287,0.19728599879518471,0.21378609642369517,0.24224493107671763,0.2597792310959854,8.991754621185024,9.4077224867974,10.551104501945204,11.53436002515125,12.033116961045595,0.263220744158305,0.2795417823257352,0.36462680894552313,0.5182261755936942,0.5935922393706028,3205,Abudefduf sexfasciatus,FALSE,FALSE,TRUE,normal,0.21378609642369517,11.301092043681747,rls,rls_norm
Abudefduf vaigiensis__Arnhem Coast to Gulf of Carpenteria,2.8391644404026377,4.684377349070086,10.189154220944676,12.093163514109632,12.444354515333892,2.9566405311299366,3.223646394818946,4.468200980150693,8.507865355557623,9.992534580860475,-20.30392651448564,rls,1.0456263807764778,1.4110396754420191,2.0996126533822115,2.3729680562300874,2.4486817402311565,0.3744820595207144,0.40655011879409103,0.6284376726100294,1.3712037173488294,1.7816349244910228,-28.053782671909566,8.100393939049189,8.619706164077188,10.751910131781177,12.33406934949519,12.680861775125672,0.260114667325773,0.27940996522952083,0.40188597144465266,0.6069047258472051,0.637837233899553,6.462146412163609,7.2320580237235665,10.187635697549183,15.658630047082484,22.49586913200582,0.3880028748239748,0.4239421345284575,0.6959067813988338,2.3568652604288585,4.7863033169619325,323,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.40188597144465266,12.8328173374613,rls,rls_norm
Abudefduf vaigiensis__C and S GBR,6.69405245747752,7.538582055558845,8.893782278691674,9.891579417722955,10.198998921598255,2.542678125768294,2.7046057735686295,3.3969794409154432,4.7344399966447215,5.3660443305884655,-23.787455670686313,rls,1.9364150857884703,1.9883505255706562,2.11310513465049,2.2052855245591645,2.237137903402488,0.2770199002577788,0.29030362529671205,0.35348098638545256,0.4735852884279119,0.5401137144465623,-29.674827338797265,7.806456673025234,8.103504312520455,9.055200825830102,10.022965683717484,10.31256734296015,0.27790658410562746,0.2932974179522139,0.358827458998476,0.4702246932306737,0.513496588702439,7.6534200362666756,7.9372780957960565,8.832313755860579,9.774828866683645,10.161059232020133,0.2824204828549706,0.2965288060341077,0.36481563452818233,0.5014231299845315,0.5820067896614605,1070,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.358827458998476,9.163551401869158,rls,rls_norm
Abudefduf vaigiensis__Coral Sea,9.410193817801163,9.847020198234944,10.821219853293398,11.700176804766322,11.987230554699792,3.108595257112284,3.20582395008294,3.7412276352683427,4.686303378001245,5.150150064816588,-28.6635792077128,rls,2.0808007775476045,2.1176327235117283,2.236576036226391,2.3350907585968317,2.3627051811377404,0.32552163764326697,0.33840559065132747,0.3924457284399696,0.4805731922584755,0.5122701344884578,-35.65616267526326,9.73732855965082,10.036938621764923,10.90273722814501,11.766075538009638,12.076003481450012,0.2769640070067598,0.28780093849863103,0.3376366355863057,0.41062999970173636,0.43988567075670193,8.742638729143911,9.069467194665673,10.140280207977874,11.207441234501916,11.599057725985162,0.33433848992017984,0.3483291697374333,0.4080524589544719,0.5097028501271499,0.5477895182777095,1996,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.3376366355863057,10.707665330661323,rls,rls_norm
Abudefduf vaigiensis__Exmouth to Broome,9.847619217690642,10.102030808918354,10.973044494290182,11.990651289859201,12.309561587762508,2.788822232667923,2.918579209646892,3.4082908884305327,4.146814732488444,4.446371403047367,-28.152007507078665,rls,2.1579325128641926,2.1848025595106026,2.267764495841024,2.3549002251073032,2.3856378662900832,0.27327657090134516,0.2862509551841543,0.3346701440139017,0.388485708577929,0.4060843949362726,-31.787830539724492,9.951587050498109,10.17379390103133,11.018851338168556,12.03416821868084,12.345097704735318,0.24980207002869764,0.26283759777688903,0.305315171855576,0.3645678251495436,0.38617546330459906,9.193659525415477,9.432477263527055,10.2349393842477,11.145312452973748,11.492662817622648,0.2784589268740071,0.29221611937112935,0.3442636380512922,0.4036148591064957,0.42341532191195014,2664,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.305315171855576,10.299361861861861,rls,rls_norm
Abudefduf vaigiensis__Gulf of Papua,11.290239646227247,12.170786562938456,13.69350051770278,14.666716214144333,15.05450412837136,2.1406140139980976,2.2851874123912426,3.0718534608600914,4.672665172608012,5.825510829098618,-14.28404127311418,rls,2.3724560060278423,2.4233383172517584,2.569332002463783,2.6673355731998805,2.697573744916693,0.1709285121391499,0.18693361790178514,0.2714776581293967,0.40536088043463037,0.45816246237159164,-20.641727035581535,11.821654820694237,12.358899228580347,13.730812815397186,14.746374681557102,15.184032217441457,0.15315999588900475,0.16432170523831813,0.2248599569708013,0.3484692278654803,0.42286601401745266,11.402728349813943,11.904805288931241,13.552335696208235,15.016342429640655,15.699741996347303,0.17218463068576553,0.18857862957959595,0.27655729964650205,0.42259720003649526,0.4832914242462528,278,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.2248599569708013,13.003597122302159,rls,rls_norm
Abudefduf vaigiensis__Lord Howe and Norfolk Islands,11.3959324619202,11.6161170155956,12.237173274391147,12.778807907585191,12.943611378208434,2.9414186081874547,3.030439171327197,3.3981041745775897,3.9744026419577687,4.227068624634847,-14.64281809428213,rls,2.256848259194101,2.309005079191646,2.422252683335262,2.4867983353366667,2.5028299590004814,0.2784065169460653,0.2887743949448121,0.33622852095699307,0.44797889084199527,0.5095024407901223,-25.424743789136492,11.442895808386655,11.643227664892137,12.249402671160464,12.792153680193547,12.960420416499304,0.2400999193208282,0.24733646302031384,0.2772604664881462,0.3212049681218477,0.3437534104062943,10.477176675663479,10.900281189953596,11.954366716314976,12.768655802833337,13.138148104439324,0.28388948949217124,0.2949005769973642,0.34595879608207225,0.47142317695359987,0.544428143731027,310,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.2772604664881462,12.161290322580646,rls,rls_norm
Abudefduf vaigiensis__Ningaloo,11.306453085356296,11.45525500324061,11.886102690118783,12.354488810248299,12.520901402347878,2.5730621291096014,2.6538183435118348,2.9432133816176957,3.331067660649687,3.4910829189088473,-15.408740372604392,rls,2.3774768210467214,2.3944633502291373,2.4347943215538868,2.468990097524482,2.4794160068977886,0.22406990086812636,0.23057361057524506,0.2543568572713779,0.2870841127502405,0.30239823062067855,-20.416826538261525,11.312572321918308,11.45792878322872,11.888599360182486,12.356047683179083,12.522818169042933,0.2172562650352441,0.22333718686219584,0.24698038111682202,0.2782629510067811,0.289776452756605,11.172023508815029,11.348390257784764,11.792192677117662,12.206986914769075,12.353367562081186,0.22691202958220388,0.23367239037917722,0.258526908814808,0.2931021196211789,0.3094449363219519,711,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.24698038111682202,11.786216596343179,rls,rls_norm
Abudefduf vaigiensis__Torres Strait N GBR,1.9479971907237368,3.163344817685208,9.892976267384668,12.991324984764654,13.710516446669782,3.5381094129257726,4.134589638695232,7.33868551837236,12.480792798551292,14.29522773642443,-26.728084450451668,rls,1.1210506730105037,1.5905634759859284,2.2858657421938364,2.548365074671401,2.6113315896541534,0.34720408969906447,0.38815633958063683,0.6605312210634509,1.4570171108726555,1.8696978611016108,-33.34435051863271,9.241071366697676,9.813928405782882,11.901830645040285,14.47656321577613,15.673545975756642,0.28830964290141053,0.3288089753480973,0.5252719220565862,0.6534754218511398,0.6687195030812086,8.36645208099035,9.43791000651773,12.482463529817464,20.64334108895354,32.79664046007102,0.3579356274939037,0.4032462271695692,0.7395776851925988,2.712072471005238,5.654806615638545,522,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.5252719220565862,12.21743295019157,rls,rls_norm
Abudefduf vaigiensis__Tweed-Moreton,11.742637938920147,11.936680374521064,12.469820092549375,13.01099305294546,13.178692219609644,2.6021612565217893,2.6942458897022705,3.0479178904158273,3.520724021212291,3.7265864924193686,-18.599753597026336,rls,2.4081807877217174,2.4322881918462738,2.4910603055328653,2.5315896878110524,2.5430742664050854,0.2115754424384719,0.21800831292632916,0.2472515419688437,0.29817208163281805,0.32587902671236796,-25.38474672249336,11.75452736053695,11.942858342271792,12.47374623627038,13.012767935301849,13.181287307636083,0.20831353791034016,0.2165676188250178,0.24335539899780548,0.28015588538124625,0.29627734183511056,11.54454596486429,11.828928349783185,12.46212304844752,12.983126319231982,13.140841334859163,0.21396542241642416,0.2206244997059614,0.2510789410543255,0.30492385400065514,0.33472538437798205,1006,Abudefduf vaigiensis,FALSE,FALSE,TRUE,normal,0.24335539899780548,12.495029821073558,rls,rls_norm
Abudefduf whitleyi__C and S GBR,9.222535876133787,9.391326423152114,9.854320908796607,10.346580593770199,10.516611704966422,2.7150519203749908,2.7834139720835416,3.069967473898249,3.519808505912347,3.7656760802803335,-32.51091091125547,rls,2.0969707177887695,2.1205792374053725,2.1913138482977614,2.251633704062775,2.2684162164472617,0.28899937827582317,0.2996733899102969,0.33558150706883405,0.38552044199277163,0.40528307096784066,-39.95201946003476,9.290832396324527,9.436476900421068,9.883412969358131,10.374434844484519,10.549122748421013,0.27138059831789124,0.2789930890721467,0.3073325357780751,0.34904234793443456,0.3667097255954693,8.702593363902258,8.871896959682202,9.469323096784773,10.036893509110431,10.23488365001736,0.29514005801718707,0.30652895523392004,0.34525483251563427,0.400298630747818,0.42250923397078427,7649,Abudefduf whitleyi,FALSE,FALSE,TRUE,normal,0.3073325357780751,9.725454307752647,rls,rls_norm
Abudefduf whitleyi__Torres Strait N GBR,10.806494361272124,10.947309462809018,11.320287936784531,11.68919828497856,11.829521690105732,1.6152302219424222,1.692770027403839,1.932787172657291,2.2234497323483278,2.3590334962934074,-7.788810789537582,rls,2.35075904248387,2.3671798510065836,2.407957524301324,2.444904169977857,2.4587871369645082,0.1413849652301944,0.15011581627436632,0.17693021624447758,0.20859398075450902,0.22185401528690596,-13.711204657839646,10.806534014066557,10.94807617967647,11.32029566266774,11.689198498515834,11.829522686621447,0.1423241094178428,0.14964539739260466,0.17075416995207532,0.19724714624876183,0.2098125645656444,10.694325953776003,10.85086571029063,11.287730535240406,11.715239200732201,11.871034706426745,0.1420944776357623,0.15096550600965958,0.17832395844678292,0.21088374099161225,0.22461208468451635,507,Abudefduf whitleyi,FALSE,FALSE,TRUE,normal,0.17075416995207532,11.277120315581854,rls,rls_norm
